0	 1
0.01	 0.999808
0.02	 0.999267
0.03	 0.998425
0.04	 0.997334
0.05	 0.996042
0.06	 0.994597
0.07	 0.993046
0.08	 0.991437
0.09	 0.989812
0.1	 0.988214
0.11	 0.986685
0.12	 0.985262
0.13	 0.983982
0.14	 0.982879
0.15	 0.981984
0.16	 0.981326
0.17	 0.980931
0.18	 0.980823
0.19	 0.981021
0.2	 0.981543
0.21	 0.982403
0.22	 0.983613
0.23	 0.985179
0.24	 0.987106
0.25	 0.989397
0.26	 0.992048
0.27	 0.995055
0.28	 0.998409
0.29	 1.0021
0.3	 1.00611
0.31	 1.01041
0.32	 1.015
0.33	 1.01984
0.34	 1.0249
0.35	 1.03015
0.36	 1.03555
0.37	 1.04107
0.38	 1.04666
0.39	 1.05227
0.4	 1.05786
0.41	 1.06337
0.42	 1.06875
0.43	 1.07393
0.44	 1.07885
0.45	 1.08345
0.46	 1.08766
0.47	 1.09139
0.48	 1.09459
0.49	 1.09716
0.5	 1.09902
0.51	 1.1001
0.52	 1.10029
0.53	 1.09951
0.54	 1.09766
0.55	 1.09465
0.56	 1.09037
0.57	 1.08472
0.58	 1.07759
0.59	 1.06887
0.6	 1.05845
0.61	 1.04621
0.62	 1.03204
0.63	 1.01581
0.64	 0.997391
0.65	 0.976665
0.66	 0.953499
0.67	 0.927759
0.68	 0.899311
0.69	 0.868016
0.7	 0.833733
0.71	 0.796318
0.72	 0.755625
0.73	 0.711505
0.74	 0.663807
0.75	 0.612375
0.76	 0.557055
0.77	 0.497686
0.78	 0.434107
0.79	 0.366152
0.8	 0.293657
0.81	 0.21645
0.82	 0.134361
0.83	 0.0472151
0.84	 -0.0451645
0.85	 -0.142957
0.86	 -0.246343
0.87	 -0.355508
0.88	 -0.470638
0.89	 -0.591921
0.9	 -0.719548
0.91	 -0.853713
0.92	 -0.994612
0.93	 -1.14244
0.94	 -1.29741
0.95	 -1.45971
0.96	 -1.62955
0.97	 -1.80713
0.98	 -1.99268
0.99	 -2.1864
1	 -2.3885
1.01	 -2.5992
1.02	 -2.81873
1.03	 -3.04729
1.04	 -3.28513
1.05	 -3.53245
1.06	 -3.7895
1.07	 -4.05649
1.08	 -4.33367
1.09	 -4.62127
1.1	 -4.91952
1.11	 -5.22867
1.12	 -5.54896
1.13	 -5.88063
1.14	 -6.22392
1.15	 -6.5791
1.16	 -6.9464
1.17	 -7.32609
1.18	 -7.71841
1.19	 -8.12363
1.2	 -8.542
1.21	 -8.97379
1.22	 -9.41927
1.23	 -9.87869
1.24	 -10.3523
1.25	 -10.8405
1.26	 -11.3434
1.27	 -11.8613
1.28	 -12.3946
1.29	 -12.9434
1.3	 -13.5082
1.31	 -14.0891
1.32	 -14.6865
1.33	 -15.3006
1.34	 -15.9318
1.35	 -16.5803
1.36	 -17.2464
1.37	 -17.9305
1.38	 -18.6327
1.39	 -19.3536
1.4	 -20.0933
1.41	 -20.8521
1.42	 -21.6304
1.43	 -22.4285
1.44	 -23.2466
1.45	 -24.0852
1.46	 -24.9445
1.47	 -25.8249
1.48	 -26.7267
1.49	 -27.6501
1.5	 -28.5956
1.51	 -29.5635
1.52	 -30.5541
1.53	 -31.5678
1.54	 -32.6048
1.55	 -33.6655
1.56	 -34.7504
1.57	 -35.8596
1.58	 -36.9936
1.59	 -38.1528
1.6	 -39.3374
1.61	 -40.5478
1.62	 -41.7845
1.63	 -43.0477
1.64	 -44.3378
1.65	 -45.6552
1.66	 -47.0003
1.67	 -48.3734
1.68	 -49.7748
1.69	 -51.2051
1.7	 -52.6646
1.71	 -54.1535
1.72	 -55.6724
1.73	 -57.2216
1.74	 -58.8015
1.75	 -60.4125
1.76	 -62.055
1.77	 -63.7294
1.78	 -65.436
1.79	 -67.1754
1.8	 -68.9478
1.81	 -70.7537
1.82	 -72.5935
1.83	 -74.4677
1.84	 -76.3765
1.85	 -78.3205
1.86	 -80.3001
1.87	 -82.3157
1.88	 -84.3677
1.89	 -86.4565
1.9	 -88.5826
1.91	 -90.7464
1.92	 -92.9483
1.93	 -95.1888
1.94	 -97.4684
1.95	 -99.7873
1.96	 -102.146
1.97	 -104.545
1.98	 -106.985
1.99	 -109.467
