0	 0.0625
0.01	 0.0687499
0.02	 0.0749995
0.03	 0.0812483
0.04	 0.087496
0.05	 0.0937422
0.06	 0.0999865
0.07	 0.106228
0.08	 0.112468
0.09	 0.118704
0.1	 0.124936
0.11	 0.131164
0.12	 0.137388
0.13	 0.143607
0.14	 0.14982
0.15	 0.156028
0.16	 0.162229
0.17	 0.168423
0.18	 0.17461
0.19	 0.18079
0.2	 0.186961
0.21	 0.193123
0.22	 0.199276
0.23	 0.205419
0.24	 0.211551
0.25	 0.217673
0.26	 0.223784
0.27	 0.229882
0.28	 0.235969
0.29	 0.242042
0.3	 0.248102
0.31	 0.254148
0.32	 0.260179
0.33	 0.266196
0.34	 0.272197
0.35	 0.278181
0.36	 0.284149
0.37	 0.2901
0.38	 0.296033
0.39	 0.301948
0.4	 0.307844
0.41	 0.313721
0.42	 0.319577
0.43	 0.325413
0.44	 0.331229
0.45	 0.337022
0.46	 0.342794
0.47	 0.348543
0.48	 0.354268
0.49	 0.35997
0.5	 0.365648
0.51	 0.371301
0.52	 0.376928
0.53	 0.38253
0.54	 0.388105
0.55	 0.393653
0.56	 0.399173
0.57	 0.404665
0.58	 0.410129
0.59	 0.415564
0.6	 0.420969
0.61	 0.426343
0.62	 0.431687
0.63	 0.437
0.64	 0.442281
0.65	 0.447529
0.66	 0.452745
0.67	 0.457927
0.68	 0.463076
0.69	 0.46819
0.7	 0.473269
0.71	 0.478312
0.72	 0.48332
0.73	 0.488291
0.74	 0.493226
0.75	 0.498123
0.76	 0.502982
0.77	 0.507802
0.78	 0.512584
0.79	 0.517326
0.8	 0.522029
0.81	 0.526691
0.82	 0.531312
0.83	 0.535892
0.84	 0.54043
0.85	 0.544926
0.86	 0.549379
0.87	 0.55379
0.88	 0.558156
0.89	 0.562479
0.9	 0.566757
0.91	 0.57099
0.92	 0.575178
0.93	 0.57932
0.94	 0.583416
0.95	 0.587465
0.96	 0.591467
0.97	 0.595422
0.98	 0.599329
0.99	 0.603187
1	 0.606997
1.01	 0.610758
1.02	 0.614469
1.03	 0.618131
1.04	 0.621742
1.05	 0.625303
1.06	 0.628813
1.07	 0.632271
1.08	 0.635678
1.09	 0.639032
1.1	 0.642335
1.11	 0.645584
1.12	 0.64878
1.13	 0.651923
1.14	 0.655012
1.15	 0.658048
1.16	 0.661028
1.17	 0.663954
1.18	 0.666825
1.19	 0.669641
1.2	 0.6724
1.21	 0.675104
1.22	 0.677752
1.23	 0.680343
1.24	 0.682878
1.25	 0.685355
1.26	 0.687775
1.27	 0.690138
1.28	 0.692442
1.29	 0.694689
1.3	 0.696877
1.31	 0.699007
1.32	 0.701077
1.33	 0.703089
1.34	 0.705042
1.35	 0.706935
1.36	 0.708768
1.37	 0.710541
1.38	 0.712255
1.39	 0.713908
1.4	 0.7155
1.41	 0.717032
1.42	 0.718503
1.43	 0.719913
1.44	 0.721262
1.45	 0.722549
1.46	 0.723775
1.47	 0.72494
1.48	 0.726043
1.49	 0.727083
1.5	 0.728062
1.51	 0.728979
1.52	 0.729833
1.53	 0.730625
1.54	 0.731354
1.55	 0.732021
1.56	 0.732625
1.57	 0.733166
1.58	 0.733645
1.59	 0.73406
1.6	 0.734413
1.61	 0.734702
1.62	 0.734929
1.63	 0.735092
1.64	 0.735192
1.65	 0.735229
1.66	 0.735202
1.67	 0.735112
1.68	 0.734959
1.69	 0.734743
1.7	 0.734463
1.71	 0.734119
1.72	 0.733713
1.73	 0.733243
1.74	 0.73271
1.75	 0.732113
1.76	 0.731453
1.77	 0.73073
1.78	 0.729943
1.79	 0.729094
1.8	 0.728181
1.81	 0.727205
1.82	 0.726166
1.83	 0.725065
1.84	 0.7239
1.85	 0.722672
1.86	 0.721382
1.87	 0.72003
1.88	 0.718614
1.89	 0.717137
1.9	 0.715597
1.91	 0.713995
1.92	 0.71233
1.93	 0.710604
1.94	 0.708816
1.95	 0.706967
1.96	 0.705056
1.97	 0.703083
1.98	 0.701049
1.99	 0.698955
